texto,sentimiento,score,insight
"Gran frase final. 
Un buen profesional se potencia con la AI y su vez sabe cómo llevar al siguiente nivel lo que obtiene de la AI.
Cuando la AI resuelva algo por ti, no copies y pegues sin entender. Investiga, pregunta, aprende y continúa.",positivo,0.792,Comprensión del lenguaje
"A mi personalmente me parece que le AI no escribe lo suficientemente bien, le falta sabor, congruencia y demás (Entiendo que es un modelos de inferencia). Me parece útil para arrancar ideas, hacer lluvia de ideas, mirar opciones.",negativo,-0.61,sin categoría
Excelente reflexión Freddy,positivo,0.894,Metacognición
"Es que la mayoría de la gente usa Chatgpt solo para que les haga las cosas por ellos. Pero también la puedes usar para aprender. Yo pregunté y me dijo que solo el 3% la usan para aprender a profundidad, el resto 97% la usan para tonterías o para hacer las cosas por ellos. Eso hace que perdamos capacidades.",negativo,-0.794,Aprendizaje
"gracias, la verdad, no había caído en cuenta de esto.",positivo,0.716,sin categoría
"De acuerdo con Freddy cuando menciona ""por que si tu trabajo es copiar un LLM, quizás no debería existir ese trabajo""",neutro,0.634,sin categoría
"Gracias Fredy, buen video. Tengo una pregunta cuando estabas en el colegio o la universidad eras de los que no se dejaba copiar? O de los que le decían al profesor que había tarea cuando el no lo recordaba? Si es así felicitaciones eres el primero que la rompe 🫶",positivo,0.894,sin categoría
"Igual si creo que debería de haber alguna restricción en cuanto a la veracidad, el mayor problema que veo a día de hoy es que no sabes si lo que ves es IA o no (simplemente indicar que se ha hecho con IA, y hasta que punto)
Pero como herramienta para agilizar procesos, es indiscutiblemente útil.",neutro,0.544,Velocidad de procesamiento
"Sobre la lectura como algunas cosas en la vida hay un hecho simple, te gusta desde el principio o nunca te gustará, eso no impide que aunque no te guste no puedas alcanzar grandes metas académicas, pero si afecta tu cultura general, claro que la interacción con la IA va a cambiar el mundo, el asunto es la errónea percepción de que las IA son herramientas, como indica este divulgador, algo como excel, claro entiendo que su objetivo es vender su cursó con nombre en inglés, si lo pones en español pierde su objetivo. Si en verdad desean entender que son realmente las IA de propósito general, recomiendo la lectura del último libro de yuval hahari se llama Nexus, las IA no son herramientas, son agentes.",negativo,-0.833,Comprensión del lenguaje
JAJAJAJAAJAJAJAA Lo del minuto 5:28 es el cáncer de Twitter que estrés tanta gente comentando esa vaina,negativo,-0.931,sin categoría
Yo solo con ver el merch de Kurz gesagt siento que se valida todo este video. Es el sello de calidad que indica que hay interés y rigor científico.,positivo,0.944,sin categoría
"El problema es que con ChatGPT se lee más, pero muuuucho del contenido es ""sin valor"". Al hacer tantas iteraciones, nuestro cerebro empieza a entender que la mayoría del texto que escupe (sin comillas) la IA no tiene valor para lo que queremos y empezamos a saltar para buscar lo que ""necesitamos"". En ese proceso ya ni sabemos qué era lo que estábamos buscando. Eso me ha pasado a mí.",negativo,-0.938,Comprensión del lenguaje
"Yo lo advertía en algunos comentarios, acerca del uso de la IA, más vale leer, aprender y realizarlo por uno mismo, la IA se puede usar para quizá tener una forma optimizada del  contenido que uno mismo hizo. 

En programación,  en lo que es codificación, prefiero hacerlo, antes que escribir un prompt y genere cosas que al final me tenga con más estrés, sino que hacer uso de la IA sobre la marcha de forma controlada...",neutro,0.619,Aprendizaje
Muy interesante. Gracias!,positivo,0.96,sin categoría
la cantidad de valor añadido de este video es inmensa,positivo,0.878,sin categoría
16:18 bueno en mi defensa nunca pense que un ejercito de un pais podria perder contra pajaros... y alli esta la guerra que perdio australia contra los emu :v.,neutro,0.501,sin categoría
"Yo opino que en temas en los que antes ni sabíamos, gracias a la AI podemos leer resúmenes rápidamente y entender la esencia de los libros con un buen prompt. En ese aspecto está de subida. Ahora, en los temas en los que sí deberíamos a ser especialistas por estudios, profesión, etc, ahí sí los libros deben deben ser irremplazables por el contexto que explica Fredy y usar IA para clarificar lo que nosotros YA hicimos, o si no entendermos algo.",neutro,0.672,Comprensión del lenguaje
"Yo compré mi Kindle apenas después de la salida de GPT-3. La IA me ha ayudado a entender muchos temas que de otro modo me hubiesen llevado más tiempo y libros. De hecho, la IA ha aumentado mi curiosidad y me ha abierto la mente a entender la gran ignorancia con la que he acarreado estos año. Así que he comprado más libros que antes, incluso físicos, incluso de Matemáticas.
Creo que la IA es tan mala como quien la use. Hay gente que toma cerveza y no es borracho, pero otros... En la dosis está el veneno.
Olvidar lo que escribe la IA es como pagarle a alguien para que te haga un informe, y luego pretender hablar de algo que no entiendes en un examen.",negativo,-0.694,Comprensión del lenguaje
"Antes que mi celular este bajo control, tenía mas libertad para leer y hacer artesanias, o bordados lo que me agradava hacer.
Ahora solo tengo tiempo para cocinar y muy poco tiempo para leer. Me encanta la lecctura.
Pero cuando entro al celular ya no me desprendo. 
Voy a cambiar de hábitos.",neutro,0.563,sin categoría
Excellent! Thanks for sharing!,positivo,0.949,sin categoría
"Podrias hacer uso del análisis que esta haciendo el Científico Mariano Sigman tanto de los errores científicos de esa ""investigación"" como del problema como tal de las atrofias cognitivas que podrian estar produciendo la tecnologías. 0:01 por otro lado, esa visión de la geopolítica es muy simplista, casi que etimológica. Mi interés en decirlo radica en que muchas personas sólo saben lo que aprenden de tí y por lo tanto podrías darle más rigor a lo que dices.",negativo,-0.57,Razonamiento
Entre por el estudio pero me voy con una lección para aplicar en la vidas …,neutro,0.778,sin categoría
2:52 . Eso es cierto muchas veces veo tutoriales de una sola vez y digo tal vez deberia esforzarme poquito para aprenderlo bien pero despues recuerdo para si nadamas veo el tutorial otra vez y listo,neutro,0.889,Memoria
"Me recuerda a cuando era niño y en las clases de ingles nos hacian buscar las palabras que no sabiamos en el diccionario, y empezaban los traductores en linea pero nos prohibian usarlos ya que al buscar una palabra en el traductor la olvidabas facilmente, pero despues de buscarla 3 veces en el diccionario, se  te quedaba mas tiempo, lo qie facil viene facil se va",negativo,-0.625,Memoria
Muy bueno ,positivo,0.903,sin categoría
"Cada ser humano y cada modelo de aprendizaje es distinto; En lo particular he notado que mi manera de presentar las ideas se ha vuelto más versátil, me permite construir más analogías, conectar más puntos y entender información bastante compleja de manera sencilla y bastante útil.",positivo,0.936,Comprensión del lenguaje
"Estuve ingresado en una planta de psiquiatria un mes y me lei 6 libros de 400 paginas de media y sigo leyendo de hecho chatgpt lo uso para hacerme preguntas sobre el libro y asi demostrarme de lo que me acuerdo,lo uso de forma proactiva no destructiva",neutro,0.692,sin categoría
"Considero que depende como se usa se menguan algunas habilidades mientras se potencian otras y al final se producen mejores trabajos.

En mi caso ha disminuido mi capacidad de redacción y aumentado mi capacidad de análisis estructuración y instrucción",neutro,0.755,Razonamiento
"para el caso del  calculo mental podemos empezar aprendiendonos las tablas 2 al 99, y utilizar la I A como si fuera una máquina de hacer ejercicio, está puede volvernos más fuertes, si la usamos de manera correcta.",neutro,0.573,sin categoría
"que impacto tiene los agentes y los CMP en los editores de codigo que hacen todo, los programadores van a tener deuda continitiva por pasar las tareas a estas herramientas? hasta que punto hay que empezar a usar estas herramientas, teniendo en cuenta que si se usa muy temprano afectará su nivel de compresion del campo en el que trabaja.",negativo,-0.89,sin categoría
muy buenos tus videos,positivo,0.973,sin categoría
"Mírame esa edit, que buen editor de video, merece un AUMENTO YA ",positivo,0.947,sin categoría
Algo me dice que la salida de Tik ToK y la adopcion del fromato vertical por las otras redes sociales aumento mas la cantidad de personas que no leen libros a comparacion con los  LLM,negativo,-0.679,sin categoría
"1. Las personas tampoco quieren escribir. Creen que un LLM con tools les puede leer la mente y que con un simple prompt como 'Analiza el archivo' van a obtener un resultado relevante. Pareciera que escribirle más de 1 una instrucción en el chat hace que les duela la mano. 
2. Todo lo quieren hacer con IA y me preocupa que no veo que validen resultados. Quieren un super agente que pueda hacer todo en completa autonomía y no se dan cuenta siquiera que algo a ese nivel va a terminar con sus trabajos.",negativo,-0.966,sin categoría
"Creo que algo como esto me pasó al usar Waze para llegar a los lugares a los que generalmente voy como la casa, el trabajo entre otros. Cuando dejaba de usarlo me bloqueaba y tenía que acudir nuevamente a la app.",negativo,-0.717,sin categoría
"Soy programador con mas de 7 años de experiencia y me encanta usar la IA pero tengo subordinados o personas a las cuales les estoy enseñando que copilot les completa todo el código y llegue a una reflexión con ese tema ya que no está mal usar la IA pero siento que como ellos la usan esta mal y es la  siguiente: la IA se debe usar como un ente al cual tu le dices a donde quieres llegar y le preguntas como llegar allá y no como algo a lo que tu le preguntas que haces ahora, no se si se explica bien la idea pero resumiendo tu guías a la IA para que te lleve donde quieres o estas buscando que la IA te guíe a ti sin saber a donde tu quieres ir",neutro,0.563,Metacognición
"Para mi es super simple. No se trata de inteligencia o tratar de ""lograr"" algo, bajo los parámetros actuales de lo que significa ""logro"". Una mente inquisitiva o curiosa se va a ver completamente desbordada con las actuales herramientas de IA, pero la gran mayoría de la gente la va a usar aplicando la ley del mínimo esfuerzo. La verdad, así como pasó con la la invención de la escritura, la imprenta, internet o las actuales IA's, muy pocas personas van a ""lograr"" algo con ellas, la gran mayoría va a ""pensar"" que están logrando algo con ellas. La pregunta es: cómo sabes de qué grupo eres?, de los que logran algo o sólo parte del rebaño que piensa que hace algo. Este último grupo es mayoría, así que las probabilidades de que seas del segundo grupo son altísimas.",neutro,0.803,sin categoría
"interesante los comentarios del video. complejo, Muy complejo en mi caso me ha ayudado a ser muy independiente, Hace poco redacte una especie de demanda bien estructurada y seguramente con un abogado  redactarla me hubiera costado un millon de pesos o mas, me tarde 2 semanas en hacerla y que fuera coherente, al inicio le decia como que hiciera todo por mi, pero no, me toco ponerme a generar redacción paso a paso, y repetir lo mismo varias veces, hasta que definitivamente redactaba y le decia que ajustará mis ideas, fue dificil. Pero me ayudo. Difil usar la tecnologia para no pensar caminos cortos. Termine mi demanda se la presente al abogado para que me confirmará si me habia quedado bien, solo la medio miro y me dijo radiquela. En unas semanas sustento en un pleito legal esa demanda redactada con GPT, debo como en mis palabras sustentar todo lo que le lance a GPT . Pero estos tramites legales son costosos y esto ayuda mucho.",neutro,0.659,Comprensión del lenguaje
"Usted mui exelente señor , si veo casi todos sus videos.",positivo,0.961,sin categoría
"Freddy es un gran profesor sabe mucho...

Solo le falta un poco de autocrítica con el tema de la educación.",positivo,0.919,sin categoría
"Uso AI únicamente para consultas, la mas habitual es para preguntar si existen autores que hayan tratado x tema en sus obras. Tambien para consultar el contexto alrededor de x tema y si tiene una relacion comprobada con otras cosas. Otra cosa que hago es consultar cuales son los avances de la IA en ese campo y averiguo cual es el papel del humano en el. Básicamente el uso mas responsable que se me ocurrió para AI es explorar lo que no se que no se.

Tambien tienes razón en que escribir es pensar, desde hace unos meses siempre llevo conmigo una libretita y cada que se me vienen ideas a la cabeza   las guardo en mi memoria a corto plazo y les doy varias vueltas hasta que pueda expresarlas con un texto coherente en la libreta, asi mejoro mi memoria y no se me pierden las ideas. Se siente como hacer una wiki personal jajaja.
Salu2",neutro,0.588,Memoria
@Grok lo que dice Freddy es verdad?,neutro,0.648,sin categoría
Tiene su punto. Pero vean el video del robot de platon para entender mas el estudio. ,positivo,0.523,Comprensión del lenguaje
"Siempre fui un avido usuario de google para buscar información técnica ante mis problemas de sysadmin y hago uso de ChatGPT como ultima instancia. Pero desde que google metió a Gemini he observado que dejé de preguntar en ingles y si bien me facilita la vida preguntar en mi idioma nativo, estoy perdiendo habilidades por dicha ""facilidad"" .",negativo,-0.714,sin categoría
"Bajo la definicion de Oxford, la creacion y uso de prompts no es ""engineering"". Es uso irresponsable de IA llamarlo ""engineering"" en su acepcion actual.",negativo,-0.736,sin categoría
"Si usas ChatGPT para que te haga todo sin esfuerzo, claro que tu mente se oxida (como cuando dejamos de hacer operaciones a mano por la calculadora). Pero si lo usas para ahorrar tiempo en lo repetitivo y enfocarte en lo que realmente importa —entender, crear o resolver problemas—, se convierte en un superpoder. No es la primera vez que pasa, cuando salió Google, muchos dijeron que ya nadie iba a memorizar nada, eso le pasa a los que solo copian y pegan se estancan, pero los que lo usan para aprender, avanzan el doble. La IA es igual, el truco está en no dejar que piense por ti, sino que te ayude a pensar mejor.
Al final, la tecnología no es buena ni mala, es un espejo si la usas con cabeza, te potencia; si la usas por pura flojera, pues obvio te pasa factura.",negativo,-0.742,Velocidad de procesamiento
"hoy en dia hay mas ansiedad, la gente cada vez resume mas, ven series o pelis resumidas, videos cortos, es tremendo como ha crecido la ansiedad en la gente, a mi me pasa",negativo,-0.869,sin categoría
es increible que hace unos años cuando empezaba la IA te decian que debiamos usarla porque si no estrarias atrasado y ahora por su abuso esta generando gente floja y carente de ideas propias o creatividad,negativo,-0.976,Creatividad
"Pero Freddy, no tiene nada de malo tener el criterio de personas que uno considera conocedores en un tema. De hecho yo lo hago mucho para revisar mi propio criterio para comparar o para investigar más acerca de un tema.
La verdad, para mi lo que hoy conocemos como IA (yo por ahora solo estoy usando ChatGPT) es solo un buscador, me ayuda a buscar información en base a la cual desarrollo mis actividades.
Eso si, estoy plenanmente de acuerdo contigo que los trabajos en los que puedes tomar el resultado de la IA y ""Copiarlo/Pegarlo"" para entregarlo a quienes usan tu servicio, son los trabajos que son reemplazables por la IA (sguro van a dejar de existir).",neutro,0.524,Razonamiento
Excelente vídeo.,positivo,0.848,sin categoría
"Lo importante es para que escribes... muchas veces el objetivo no es escribir. Va mas allá.. ¡Por ejemplo lo importante de una idea no es escribirla, es ejecutarla! Ejecutarla te va hacer que la recuerdes mas que escribirla.",positivo,0.677,sin categoría
Gracias Niño por esa informacion tan interesante.,positivo,0.966,sin categoría
"Lo sabia....

Es lo mismo que solo leer libros y no escribir nada.

Ser consumidor de libros no te hace escritor.",negativo,-0.733,sin categoría
"si uso un algoritmo de un árbol de decision el modelo realiza una serie decisiones basadas en las características de entrada. Dado un conjunto específico de entradas, el árbol siempre seguirá el mismo camino y producirá el mismo resultado. No hay elementos de azar involucrados por lo que es un algoritmo determinista, no?
Supongo entonces que la IA no es solo un medio de inferencia estocastico Freddy sino también determinista.",neutro,0.85,sin categoría
Las referencias del estudio?,neutro,0.854,sin categoría
"Me parece que el video tiene muy buen contenido, pero hay algo que sin duda debo mencionar, no es adecuado sacar grandes conclusiones con un grafico que no empieza en 0, en el gráfico que comparte Freddy sobre los resultados PISA, entiendo que hay una diferencia grande pero si mostraran el grafico iniciando de 0, se vería que el cambio desde 2004 hasta 2020 no es tan grande. Es algo que ustedes en su curso de estadistica y en cualquier libro de estadistica suele enfatizarse, por favor tenga en consideración este feedback para no difundir practicas en los graficos que son desestimadas.",negativo,-0.531,Razonamiento
"Debemos seguir leyendo tanto como podamos, escribiendo tanto como podamos. Sí, esto es un proceso lento. Pero lento no es igual a malo. El sisteman educativo debe seguir y volcarse hacia una educación que provoque habilidades de pensamiento crítico. Y qué mejor que escribir. Por eso, las editoraiales podrían aprovechar publicar libros publicados a mano, o con un sello de 100% man-made.",positivo,0.518,Razonamiento
"No sé si me van a fijar por la siguiente reflexión que voy a hacer pero… Un uso inteligente es tan simple como en vez de dejar que la IA sea tu piloto automático, se convierta en un tipo de herramienta que te ayude a afilar tu pensamiento; esto yo lo logro mediante el simple hecho de cuestionarme lo que investigo con ChatGPT, darme un tiempo para reflexionar y/o consultar con otras personas como mis familiares o amigos. Veo a la IA como ese recurso que siempre tiene toda la información, pero que nunca te revela del todo lo que hay en la práctica u en el panorama entero, y es tu trabajo ponerte en acción para descubrirlo o incluso **cuestionarlo**; ¿Cuál fue la última vez que cuestionaste lo que te dijo la IA?",neutro,0.697,Razonamiento
Gracias!,positivo,0.659,sin categoría
"Volverías a usar papel y lápiz y libros en lugar de pcs laptops celulares, google etc etc ?",neutro,0.825,sin categoría
No había dicho Platzi wue aumentaramos el uso en el trabajo -estudio?,neutro,0.717,sin categoría
Yo digo que la tecnología siempre va a avanzar.,neutro,0.519,sin categoría
"Lamentablemente, Freddy; la IA no se usa de forma adecuada.  Es como utilizar un Jet Supersónico para ir al Oxxo a comprar cocacolas o caguamas, y debe ser utilizada, por ejemplo, si eres astronauta interespacial, para ir a Marte; o si eres alpinista experto del Everest, para subir al Everest de forma más rápida.  El consejo: primero aprende antes de usar la IA, y así, sabrás cuando, cómo, dónde, en qué, qué modificar de las respuestas de la IA, que agregar, qué producir con ella.  ¡Saludos desde México... oye, y qué has sabido de El Chombo?  Se le extraña, soy fan de ustedes dos.",negativo,-0.713,sin categoría
La mejor parte del video fue Fredy vendiendo con la animación de ventas verde y el sello de garantía en 4K,positivo,0.877,sin categoría
"6:25 Ay siiii, yo pensaba eso, pero pense que seria trampas...",neutro,0.759,sin categoría
"desde que comencé usar chatgpt aumento mi pereza para hacer casi cualquier cosa, escribir o programar inclusive desarrollar ideas o cuestionarme cosas, me parecía tan simple como iniciar un chat y preguntar cómo puedo perfeccionar esto , comencé así y luego me gusta tanto el estilo y lo perfeccionista que puede llegar a ser que cada vez me siento que pierdo la habilidad de dejar las cosas lo suficientemente simple estilizado y detalladas , me siento que me estaba conformando con tener le idea general y los conocimientos trasfondo y nada más, el resto de las habilidades necesarias para llevar algo hasta el final me cuentan un poco más o quizás no recuerdo el trance ni cuando dejaron de costarme, llevo varios meses tratando de depender lo menos posible, llevando mis proyectos y mis cosas 100% por mi o googleo , gpt lo dejé para cumplir tareas de trabajo que poco me importen",negativo,-0.627,Memoria
"Soy developer, ahora para entrenar mi cerebro, juego ajedrez previendo esto, peero incluso en el ajedrez me pongo perezoso para pensar las jugadas.. esta tecnología, ojito que tiene unos drawbacks increíbles.",positivo,0.793,sin categoría
"Pues como dijiste, nos está pasando lo mismo que con las calculadoras electrónicas y ahora es una herramienta indispensable, incluso para sumar cantidades de más de tres dígitos. 
Entonces esa es la razón por la cual la IA nos  está ""destruyendo"" y el día que ya no podamos acceder a ella, ese día muchos prácticamente van a morir de la desesperación...",negativo,-0.971,sin categoría
"Yo creo que el problema no es nuevo, es antiguo: y consiste en que alguien ( por uno mismo es muy difícil),  te muestre el placer que existe en leer, escribir,hacer ejercicio, aprender etc. En general los humanos vamos a buscar el caminho más corto para hacer cosas que nos aburren, para luego tener tiempo para cosas que nos interesan que son muy diversas (ver tik tok, criar hijos, trabajar una horta, julgar videojuegos ver tele o simplesmente no hacer nada. Los humanos no nos negamos al placer cuando lo descubrimos, asi éste, nos requiera esfuerzo.",negativo,-0.739,Aprendizaje
"Lo que mas odio de la llegada de la IA es que ha destruido a los universitarios, es decir, cuando realizo actividades grupales todos optan por preguntar directamente a la IA. y no piensan o cuestionar el ejercicio, no quieren hacer una lluvia de ideas y hacer trabajar un poco el cerebro. Esto esta perjudicando muy fuerte a los niños y adolescentes que usan la IA para redactar tareas escolares, el hecho de no escribir letra a letra tu opinión sobre algún tópico, es limitar tu capacidad de argumentación y de poder estructurar ideas que formen sentido. Y si, redacté esto para reconstruir conexiones neuronales que GPT atrofió.",negativo,-0.985,Razonamiento
"No se si este utilizandolo bien o mal, pero lo uso para aprender aleman. 
como no tengo con quien hablar tenemos conversaciones, pero si noto que prefiero hablar con chat que con nativos. porque no requiere variantes sociales, siempre esta disponible a cualquier hora y aparte de eso me corrije. 

pero tambien lo uso para resumir textos, y escribir correos. lo cual si veo que es un gran problema, porque al principio lo veia como una herramienta pero ahora siento que no quiero escribir mas",neutro,0.73,Aprendizaje
"El tema es la forma de usar AI, y tiene lógica de que se deje de aprender por un uso incorrecto o excesivo cuando no pensamos o analizamos primero.",negativo,-0.837,Razonamiento
"Amigo URGENTE debes de hablar sobre la ley espia en México. 
Saludos",negativo,-0.543,sin categoría
Muy buen msj!!!,positivo,0.972,sin categoría
"ia es una herramienta para muchas cosas, no es para preguntarle por todo o usarlo por todo, ademas hay que tener unas bases culturales grandes para usarla sin que te afecten ;)",neutro,0.562,sin categoría
"En Matemáticas, desde que salió ChatGPT he dicho y sigo sosteniendo que la Inteligencia Artificial no es una herramienta efectiva de aprendizaje, no sirve para aprender temas nuevos porque el aprendizaje humano (mayormente) requiere socialización",negativo,-0.943,Aprendizaje
Dónde puedo conseguir el documento?,neutro,0.908,sin categoría
"Siempre que Freddy sube un video, qué ganas de verlo hasta el final. *Respuesta creada con IA",positivo,0.576,sin categoría
"En mi caso, mi inteligencia está aumentando. Yo personalmente, uso chat Gpt para aprender y observo mucho su capacidad de procesamiento de la información y la intento llevar a mi vida cotidiana. Recuerden que tenemos un cerebro que se puede entrenar. Lo que si reduce chat gpt es la carga mental relacionada con pensar mucho en algo, pero eso es bueno. Qué necesidad tiene uno de pensar demasiado en ciertas cosas si puedes ahorrarte esa energía mental y usarla en algo más importante para ti.",neutro,0.627,Aprendizaje
"No estoy en acuerdo con algunos aspectos que toca el conferencista. 
1. Yo uso el chatgpt como un guía en capacidad de interactuar con conocimiento sobre asuntos e inquietudes de mi interés. En esa medida la IA responde a la.medida de la pregunta, advirtiendo. claro está si le pregunta, que es una herramienta en estado de desarrollo, susceptible de usar
2. Obviamente TODOS estamos entrando en una dificultad para escribir sobre el papel. Pero es normal: la gente utiliza sus dedos para digitar las palabras (no con tinta), y ellos atrofia esa función que cada vez se usa menos
3. La IA abrevia procesos: escritura de ensayos, cuentos, gráficos, etc, liberando al hombre de ""una carpintería"" que ella puede hacer mejor. Eso se llama ""cooperación"" pues el que está atento al producto final es el ser humano, no la máquina
4. Leer libros y consultar IA son cosas distintas:
el libro es una fuente rígida de un conocimiento o experiencias sin capacidad de renovarse
La IA es un producto cultural tecnológico diseñada para interactuar, básicamente. Ello significa que ""regenera"" ""contextualiza"" el conocimiento, da opciones, mientras un libro no,.por muy científico o técnico que sea su contenido.
Lo que ha expresado la IA que yo consulto es que:
a. Se equivoca y yerra
b. No es un oráculo
c. Constituye un espejo de quién la utiliza
d. No tiene alma, ni conciencia, ni sentimientos, por lo tanto no tiene historia y su memoria corta",negativo,-0.601,Memoria
"Nop, cuando las personas escriben ""Grok esto es cierto"" lo hacen para no gastar tiempo en cosas sin importancia, es la típica hora que dedicas a redes sociales (no somos máquinas).
Cada uno tiene asuntos que sí le merecen su atención y valoran como importantes, en tu caso puedes preocuparte por profundizar en ciertos conocimientos porque ya lograste la libertad financiera, es un error pretender que los que estamos en ese proceso nos sentemos un sábado a resolver integrales de línea...",negativo,-0.649,Atención
Gracias,neutro,0.496,sin categoría
Muy interesante el estudio de MIT,positivo,0.938,sin categoría
"Si, no hay que abusar demasiado de la IA, escribir sobre un tema mediante solo tu cerebro siempre va a ser una tarea beneficiosa, por eso mismo que yo prefiero usarlo para algunas tareas solamente, porque esta mal depender de algo que antes no existía, vino a ayudarnos, pero también nos puede perjudicar haciendo que nuestro cerebro no se esfuerce lo suficiente.",negativo,-0.736,sin categoría
"esta bueno a publicidad entre medio.
no si lo estoy haciendo bien, pero yo la uso para que me explique cosas, por ejemplo programar en react y angular, necesito entender  como funciona",neutro,0.695,Comprensión del lenguaje
"Todo depende de cómo usas la IA. Podrías leer un libro diario con Eleven Reader. En la práctica, la mayoría de personas usan la IA para ahorrar esfuerzo, pero también puedes usarla para ejercitar tu cerebro.",neutro,0.688,sin categoría
No puedo dejar de ver que Freddy tiene dos gadgets  a modo de reloj.,neutro,0.512,sin categoría
"8:54 Estoy leyendo más que antes, libros técnicos y en inglés. Si, el dolor de cabeza es grande, y uso chatGPT para consultar términos y pequeños quiz por capítulo leído.",neutro,0.756,sin categoría
"Entiendo la preocupación que puede generar el uso excesivo de herramientas como ChatGPT, pero es importante poner las cosas en contexto. No es la herramienta la que causa una “degeneración de la inteligencia”, sino el uso que se le da. ChatGPT, como cualquier tecnología, es una extensión de nuestras capacidades, no un reemplazo de ellas.

En lugar de debilitar el pensamiento, bien usado potencia la curiosidad, acelera el aprendizaje y ayuda a estructurar ideas con rapidez. Personas de todo el mundo lo utilizan para mejorar sus habilidades de redacción, comprender conceptos complejos, programar, practicar idiomas, desarrollar negocios y más. ¿Eso suena a degeneración?

La clave está en cómo se usa: si alguien lo utiliza para evitar pensar, claramente no lo está aprovechando bien. Pero si lo usa como una herramienta para explorar nuevas ideas, mejorar su trabajo o entender mejor el mundo, ChatGPT se convierte en una oportunidad educativa enorme.

Culpar a una herramienta por la pereza intelectual de algunas personas es como culpar a una calculadora por el hecho de que alguien no sepa sumar. Todo depende del usuario.",negativo,-0.62,Función ejecutiva
"La tecnología hace que cada vez gente incompetente se iguale con gente competente, ese es el problema. Lo único que vale ahora son los títulos que son obligatorios para ejercer la carrera, médico, abogado, arquitecto, etc. y quedan fuera los cuales no es ejercicio ilegal de la profesión como diseñadores gráficos, periodistas, escritores, dibujantes, etc y si, programadores. Le encuentro razón que antes se usaba mas la memoria, no tenías un vsc con ayuda y los números de teléfono se aprendían de memoria. A los primeros no les afectará tanto, es mas, la IA la usarán como herramienta, los segundos serán menoscabados por decir lo menos.",negativo,-0.76,Memoria
Gracias Freddy,positivo,0.732,sin categoría
Jajajaj sentí que me habló cuando dijo “Desarrollar un  agente” ,neutro,0.716,sin categoría
"Una de las mejores formas de mantener el pensamiento crítico es estar jodiendo en redes a través de contra-argumentos a cosas que consideras erradas y que son un paradigma de moda en algún aspecto de la realidad. Eso es algo que te tardas más diciéndole a la IA que lo haga que haciéndolo tú. Otra cosa es que la ignorancia crea un bucle. Así, yo estudié Comunicación y Literatura y por mi cuenta aprendí Filosofía y Lógica, y aquello me da moldes metacognitivos, y con esos moldes incluso reviso los productos que me entrega la IA y veo cuando hace hu-3v-adas como inventar fuentes o como confundir niveles de referencia. Por ejemplo, si un link dice que una tienda está en el lugar A, o si simplemente menciona a la tienda y al lugar A. Como puedes ver, esto no lo escribí con IA",negativo,-0.776,Razonamiento
"Que buena informacion, grande Fredy como siempre",positivo,0.972,sin categoría
"Esta información la escuché en otro video, incluso también uso el ejemplo de ""la calculadora""",neutro,0.888,sin categoría
"Me parece chingon que pongas las fuentes, muchos no lo hacen ",positivo,0.586,sin categoría
"8:27 Uy pero ponen un número resultado de multiplicar 3 primos, 2 de esos de 4 cifras!!! Ya el clásico descomponer en factores primos para dividir más rápido se cae.",negativo,-0.84,Velocidad de procesamiento
"Yo uso ChatGPT para crear guiones para redes sociales. para luego grabarlos contandolos. Yo siento que he crecido en conocimiento, en pensamiento crítico hacia el mensaje también. Ya no me pierdo en la creación, sino en la crítica al guión. Como si pudiera pensar un nivel más arriba gracias a ChatGPT. Bueno esa es mi percepción.",positivo,0.684,Razonamiento
"Pero como pueden comparar a alguien que escribe un ensayo a mano, con alguien que lo hace con AI? .
Claramente el segundo no tiene interes en memorizarlo o recordarlo, solo hacerlo bien y rapido, mezclando deep research y un modelo grande de contexto para redaccion.",neutro,0.506,sin categoría
"Aún no sé por qué mencionaste que los números eran pares, no fue de ayuda, pero el resultado al problema planteado es 8,16",neutro,0.641,sin categoría
Freddy has un video de lo que está pasando con EU y el otro lado del mundo,negativo,-0.612,sin categoría
"Cuando uso chat gpt para complementar o aprender código ( sql - dax ) siempre lo copio manual, ya que escribiendo el código es la única forma de ir aprendiendo de verdad",neutro,0.725,Aprendizaje
"la inteligencia como todo en esta vida es relativo, muchos creen que los animales no son inteligentes, concientes y que los humanos somos superiores en todo pero el humano es otro ANIMAL y comparte los mismos deseos que cualquier otro ser vivo, vivir y reproducirse

la vida no es una pirámide donde los de arriba son mas poderosos y capaces, es mas como un prisma de colores donde cada uno tiene su propia experiencia de vida diferente y no existe ni el bien ni el mal ni la justicia",neutro,0.615,sin categoría
"Porque jamás le he pedido un resumen a ChatGPT, yo le doy el pdf y le pido que me lo lea y no solo que me lo lea, le pido que cree un ambiente frente a una fogata y haga toda la escenografía para disfrutarlo y mientras lee, se detiene para reflexionar sobre lo que leyó, profundiza sobre lo que lee, me permite hacerle preguntas y voy entendiendo más el libro  de lo que lo entiendo solo, porque es para mi como tener un genio a mi lado con quién me siento a debatir y lo peor es que nunca le acepto todo por muy genio que sea, yo debato y contradigo mucho lo que me dice y me toca investigar aparte para debatirle más 

Pero no sé que tanto se ha convertido en una adicción seria e irresponsable para mi, porque de verdad la uso demasiado en TODO.",neutro,0.515,Metacognición
