What is your university name ?,What is your current level of education?,How often do you use AI tools like ChatGPT  for academic purposes?,How do you think ChatGPT has influenced teaching methods in your courses?,Has ChatGPT influenced your approach to solving complex academic problems or  assignments  ?,Do you use ChatGPT for group study or collaborative learning ?,Do you feel that AI assists you in self-paced learning ?,Does ChatGPT help improve critical thinking and problem-solving?,Has ChatGPT provided useful guidance on your career path or educational choices ?,How worried are you about the privacy and safety of your personal data when using AI tools like ChatGPT for academic tasks?,Do you think relying too much on AI tools like ChatGPT could harm students creativity and critical thinking skills?,Do you believe using AI tools like ChatGPT reduces your creativity and critical thinking?,Do you believe AI tools (like ChatGPT) improve your learning experience?
Jagannath University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Worried,Neither agree nor disagree,Occasionally,Maybe
Jagannath University,Undergraduate,Monthly,I am not sure how it affects teaching methods,Uncertain,No,No,No,Yes,Worried,Agree,Yes,Yes
Jagannath University,Undergraduate,Monthly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Not worried,Strongly agree,Yes,Yes
Jagannath University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Occasionally,Maybe
Daffodil International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neither agree nor disagree,Occasionally,Yes
Daffodil International  University,Undergraduate,Daily,It has had no impact on teaching methods,Uncertain,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Occasionally,Yes
Daffodil International University,Undergraduate,Weekly,It has had no impact on teaching methods,Yes,Yes,Yes,Yes,Yes,Worried,Strongly agree,No,Yes
Daffodil International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Maybe
Dhaka University,Postgraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,No,Somewhat worried,Neither agree nor disagree,Occasionally,Maybe
Daffodil International University,Postgraduate,Never,It has improved teaching methods significantly,No,Sometimes,Yes,Yes,Yes,Somewhat worried,Agree,Occasionally,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometimes,Yes,No,Yes,Worried,Neither agree nor disagree,Yes,Yes
"Begum Rokeya University,Rangpur",Undergraduate,Weekly,It has had no impact on teaching methods,No,No,No,No,No,Worried,Neither agree nor disagree,Occasionally,Maybe
"Begum Rokeya University, Rangpur",Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
"Begum Rokeya University, Rangpur",Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neither agree nor disagree,Occasionally,Maybe
Daffodil International University,Undergraduate,Monthly,It has had no impact on teaching methods,Uncertain,No,Uncertain,Uncertain,No,Worried,Strongly agree,Occasionally,Yes
Daffodil International University,Undergraduate,Daily,I am not sure how it affects teaching methods,Yes,No,Yes,Yes,No,Worried,Disagree,No,Maybe
Daffodil International University,Postgraduate,Weekly,It has slightly improved teaching methods,Yes,No,Yes,Yes,Yes,Worried,Neither agree nor disagree,Yes,Yes
Daffodil International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Worried,Agree,Yes,No
"Begum Rokeya University,Rangpur",Postgraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Agree,Occasionally,Yes
Noakhali Science And Technology University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Sometimes,Yes,Yes,No,Worried,Agree,Occasionally,Yes
Noakhali Science And Technology University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Noakhali Science And Technology University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Disagree,Occasionally,Yes
Noakhali Science And Technology University,Postgraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Noakhali Science And Technology University,Undergraduate,Monthly,It has slightly improved teaching methods,Yes,No,Yes,Yes,Yes,Worried,Neither agree nor disagree,Yes,Maybe
Daffodil International University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Strongly agree,Yes,Yes
Noakhali Science And Technology University,Undergraduate,Weekly,It has slightly improved teaching methods,Uncertain,No,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Maybe
Daffodil International University,Undergraduate,Daily,It has had no impact on teaching methods,No,Sometimes,Yes,Yes,Yes,Somewhat worried,Disagree,No,Yes
Daffodil International University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Sometimes,Yes,Yes,Uncertain,Not worried,Agree,Occasionally,Yes
Daffodil International University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Sometimes,Yes,Yes,Uncertain,Somewhat worried,Agree,Yes,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Uncertain,Uncertain,Worried,Strongly agree,Yes,Yes
Daffodil International University,Undergraduate,Weekly,It has slightly improved teaching methods,No,Sometimes,No,Yes,No,Somewhat worried,Neither agree nor disagree,Yes,Maybe
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neither agree nor disagree,No,Yes
Daffodil International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Maybe
Daffodil International University,Undergraduate,Weekly,It has slightly improved teaching methods,No,No,Yes,Yes,Yes,Worried,Strongly agree,Yes,Yes
Daffodil International University,Undergraduate,Daily,It has slightly improved teaching methods,Uncertain,Sometimes,Yes,Uncertain,Yes,Somewhat worried,Agree,Occasionally,Maybe
Daffodil International University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Daffodil International  University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Worried,Neither agree nor disagree,Occasionally,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neither agree nor disagree,Yes,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,No,Uncertain,Somewhat worried,Strongly agree,Yes,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometimes,Yes,Uncertain,Yes,Somewhat worried,Agree,Occasionally,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neither agree nor disagree,No,Yes
Daffodil International University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Sometimes,Yes,Yes,Uncertain,Somewhat worried,Neither agree nor disagree,Occasionally,Maybe
Daffodil International University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Sometimes,Yes,No,No,Somewhat worried,Strongly agree,Yes,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Uncertain,Yes,Uncertain,Somewhat worried,Strongly agree,Occasionally,Maybe
Daffodil International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,No,Yes,Yes,Uncertain,Somewhat worried,Strongly agree,No,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,No,Worried,Strongly agree,Occasionally,Yes
Daffodil International University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Sometimes,Yes,Yes,No,Worried,Agree,Occasionally,Yes
Daffodil International University,Undergraduate,Daily,I am not sure how it affects teaching methods,Yes,Sometimes,Yes,Yes,No,Somewhat worried,Neither agree nor disagree,Occasionally,Maybe
Daffodil International  University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Neither agree nor disagree,No,Yes
Daffodil International  University,Undergraduate,Monthly,It has slightly improved teaching methods,Uncertain,Yes,No,Yes,No,Somewhat worried,Strongly agree,Yes,No
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Disagree,No,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neither agree nor disagree,Occasionally,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Uncertain,Not worried,Strongly agree,Occasionally,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Disagree,Yes,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometimes,Yes,Yes,Yes,Not worried,Neither agree nor disagree,No,Yes
Daffodil International University,Undergraduate,Never,I am not sure how it affects teaching methods,Uncertain,No,No,No,No,Worried,Strongly agree,Yes,No
Daffodil International  University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Sometimes,Yes,Uncertain,Uncertain,Somewhat worried,Neither agree nor disagree,Occasionally,Yes
Daffodil International University,Undergraduate,Daily,It has had no impact on teaching methods,Yes,No,Uncertain,Yes,No,Worried,Strongly agree,Yes,No
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,No,Yes,Worried,Strongly agree,Yes,Yes
Daffodil International University,Undergraduate,Daily,I am not sure how it affects teaching methods,Yes,Sometimes,No,No,Yes,Worried,Agree,No,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Worried,Agree,Yes,Yes
Daffodil International University,Undergraduate,Weekly,It has slightly improved teaching methods,No,Sometimes,Yes,No,No,Worried,Agree,Occasionally,No
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Disagree,No,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Uncertain,Sometimes,Uncertain,Yes,Yes,Somewhat worried,Neither agree nor disagree,Yes,No
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Uncertain,Sometimes,Yes,Yes,Yes,Somewhat worried,Neither agree nor disagree,No,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,No,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Neither agree nor disagree,Occasionally,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Occasionally,Maybe
Daffodil International  University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Disagree,No,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometimes,Uncertain,Yes,Uncertain,Somewhat worried,Strongly agree,Yes,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Worried,Strongly agree,Occasionally,Yes
Daffodil International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Uncertain,Yes,Uncertain,Not worried,Strongly agree,Yes,Maybe
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Neither agree nor disagree,Yes,Yes
Daffodil International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometimes,Yes,Yes,Uncertain,Not worried,Disagree,Yes,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometimes,Yes,Yes,Yes,Not worried,Agree,Occasionally,Yes
Daffodil International University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,No,Yes,Yes,Worried,Agree,Yes,No
Bulbul Islam Sobuj,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Not worried,Strongly agree,Yes,No
Daffodil International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometimes,Yes,Yes,Uncertain,Worried,Strongly agree,Yes,Maybe
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Worried,Neither agree nor disagree,No,Yes
Humaira Tasnia Sakin,Undergraduate,Monthly,I am not sure how it affects teaching methods,Uncertain,Sometimes,Uncertain,Yes,No,Worried,Agree,Yes,Maybe
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Worried,Neither agree nor disagree,Occasionally,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Strongly agree,Yes,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Worried,Neither agree nor disagree,Yes,Yes
Daffodil International University,Undergraduate,Daily,It has had no impact on teaching methods,Yes,Sometimes,No,No,Uncertain,Not worried,Neither agree nor disagree,Yes,Yes
Tousif Abdullah,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometimes,Yes,Yes,Uncertain,Somewhat worried,Agree,Occasionally,Yes
Daffodil International University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,No,Uncertain,No,Uncertain,Worried,Agree,Yes,Maybe
Daffodil International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Uncertain,Somewhat worried,Agree,Occasionally,Yes
Daffodil International University,Undergraduate,Daily,It has had no impact on teaching methods,Uncertain,Yes,No,Yes,Yes,Not worried,Neither agree nor disagree,Occasionally,Yes
Daffodil International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Neither agree nor disagree,Occasionally,Maybe
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometimes,Yes,Yes,Uncertain,Somewhat worried,Agree,Occasionally,Yes
Daffodil International University,Undergraduate,Daily,It has slightly improved teaching methods,Uncertain,Sometimes,Uncertain,Yes,No,Somewhat worried,Neither agree nor disagree,Occasionally,Yes
Daffodil International University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Sometimes,Yes,Yes,Uncertain,Somewhat worried,Agree,Occasionally,Yes
Daffodil International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Strongly agree,Occasionally,Yes
Daffodil International University,Undergraduate,Monthly,It has slightly improved teaching methods,Yes,Sometimes,Yes,Yes,No,Somewhat worried,Strongly agree,Yes,Maybe
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,No,Yes,Somewhat worried,Strongly agree,Occasionally,Yes
Daffodil International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,No,Somewhat worried,Strongly agree,Occasionally,Maybe
Daffodil International University,Undergraduate,Weekly,I am not sure how it affects teaching methods,Yes,No,Yes,No,No,Worried,Strongly agree,Occasionally,Maybe
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Worried,Strongly agree,Yes,Yes
Daffodil International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,No,Somewhat worried,Agree,Occasionally,Yes
Daffodil International  University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Worried,Agree,Occasionally,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometimes,Yes,Yes,Yes,Somewhat worried,Agree,Occasionally,Yes
Daffodil International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neither agree nor disagree,Occasionally,Yes
Daffodil International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Agree,Occasionally,Yes
Daffodil International University,Undergraduate,Daily,I am not sure how it affects teaching methods,Uncertain,No,Yes,Yes,No,Not worried,Neither agree nor disagree,No,Yes
Daffodil International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,No,No,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Agree,Yes,Yes
Daffodil International University,Undergraduate,Weekly,It has improved teaching methods significantly,No,No,Yes,No,No,Somewhat worried,Disagree,No,Yes
Daffodil International University,Undergraduate,Daily,I am not sure how it affects teaching methods,Yes,Yes,Yes,Yes,Yes,Not worried,Agree,Yes,No
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Neither agree nor disagree,No,Yes
Daffodil International University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Occasionally,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Uncertain,Yes,Uncertain,Somewhat worried,Neither agree nor disagree,No,Maybe
Daffodil International University,Undergraduate,Monthly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Uncertain,Somewhat worried,Agree,No,Yes
Daffodil International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,No,No,Yes,No,Somewhat worried,Strongly agree,Yes,Maybe
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometimes,Yes,Uncertain,Yes,Not worried,Strongly agree,No,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Neither agree nor disagree,No,Yes
Daffodil International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometimes,Yes,Yes,Yes,Somewhat worried,Agree,Occasionally,Maybe
Daffodil International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometimes,Yes,Yes,Yes,Not worried,Neither agree nor disagree,Occasionally,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Strongly agree,Occasionally,Yes
Daffodil International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,No,No,Yes,No,Somewhat worried,Strongly agree,Yes,Maybe
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Uncertain,Sometimes,Uncertain,Uncertain,Uncertain,Worried,Neither agree nor disagree,Occasionally,Maybe
Daffodil International University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,No,Yes,Yes,Not worried,Agree,Yes,Maybe
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometimes,Yes,Yes,Yes,Somewhat worried,Strongly agree,Occasionally,Yes
Daffodil International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Strongly agree,Yes,Yes
Daffodil International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Disagree,No,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometimes,Yes,Yes,Yes,Not worried,Strongly agree,Occasionally,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,No,Yes,Worried,Strongly agree,Yes,No
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometimes,Yes,Yes,No,Somewhat worried,Agree,Occasionally,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometimes,Yes,Yes,Uncertain,Not worried,Agree,No,Yes
Golam Rabby Miaze,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Uncertain,No,Somewhat worried,Agree,Yes,Maybe
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Uncertain,Sometimes,Yes,Uncertain,Uncertain,Not worried,Agree,Occasionally,Maybe
Daffodil International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Uncertain,Somewhat worried,Neither agree nor disagree,Occasionally,Yes
Daffodil International University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,No,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Uncertain,Sometimes,Yes,Yes,Yes,Somewhat worried,Neither agree nor disagree,Occasionally,Yes
Ahnaf Labib Mazumder,Undergraduate,Daily,It has improved teaching methods significantly,No,Yes,Yes,No,Yes,Somewhat worried,Disagree,No,Yes
Daffodil Internation University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Neither agree nor disagree,No,Yes
Daffodils International University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Worried,Agree,Occasionally,Yes
Daffodil International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neither agree nor disagree,Occasionally,Yes
Daffodil International University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Uncertain,Not worried,Neither agree nor disagree,Occasionally,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Uncertain,Sometimes,Yes,Yes,Yes,Worried,Agree,Occasionally,Yes
Daffodil International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Occasionally,Yes
Daffodil International University,Undergraduate,Monthly,It has slightly improved teaching methods,Yes,Sometimes,Yes,No,Uncertain,Worried,Strongly agree,Occasionally,Maybe
Daffodil International University,Undergraduate,Daily,It has slightly improved teaching methods,Uncertain,Sometimes,Yes,Yes,Uncertain,Not worried,Neither agree nor disagree,Occasionally,Yes
Daffodil International University,Undergraduate,Monthly,I am not sure how it affects teaching methods,Uncertain,Sometimes,Uncertain,Uncertain,Uncertain,Not worried,Neither agree nor disagree,Occasionally,Maybe
Daffodil International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,No,Somewhat worried,Agree,Occasionally,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Uncertain,Not worried,Agree,Occasionally,Yes
Daffodil International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometimes,Yes,Yes,Yes,Not worried,Agree,Occasionally,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Disagree,No,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,No,Yes,Somewhat worried,Disagree,Occasionally,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Worried,Agree,Occasionally,Maybe
Daffodil International University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Uncertain,Somewhat worried,Agree,Yes,Maybe
Daffodil International University,Undergraduate,Weekly,It has slightly improved teaching methods,Uncertain,No,Uncertain,Uncertain,Uncertain,Worried,Strongly agree,Yes,Maybe
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Uncertain,Yes,Somewhat worried,Disagree,Occasionally,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,No,Yes,Yes,No,Somewhat worried,Agree,No,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Daffodil International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Worried,Neither agree nor disagree,Yes,Yes
Daffodil International University,Undergraduate,Weekly,I am not sure how it affects teaching methods,Yes,Sometimes,Yes,Uncertain,Uncertain,Worried,Agree,Occasionally,Yes
Daffodil International University,Undergraduate,Weekly,It has had no impact on teaching methods,Yes,Sometimes,Yes,Yes,Yes,Worried,Agree,Occasionally,Yes
Daffodil International Universit,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometimes,Yes,Yes,Yes,Not worried,Agree,Occasionally,Maybe
Daffodil International University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Sometimes,Yes,Yes,Yes,Somewhat worried,Neither agree nor disagree,Yes,Yes
Daffodil International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Agree,Occasionally,Yes
Ibnul Arfan Sabab,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neither agree nor disagree,No,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Strongly agree,Yes,Yes
Daffodil International University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,No,Yes,Yes,Yes,Worried,Agree,Yes,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Disagree,Yes,Yes
Daffodil International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometimes,Yes,Yes,Yes,Worried,Strongly agree,Yes,Maybe
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neither agree nor disagree,Occasionally,Yes
Daffodil International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometimes,Yes,Uncertain,No,Somewhat worried,Strongly agree,Yes,Maybe
Daffodil International University,Postgraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neither agree nor disagree,Occasionally,Yes
Daffodil International University,Undergraduate,Weekly,I am not sure how it affects teaching methods,Uncertain,Sometimes,Yes,Uncertain,No,Worried,Neither agree nor disagree,Occasionally,Yes
"Bangabandhu Sheikh Mujibur Rahman Digital University,Bangladesh",Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
"Bangabandhu Sheikh Mujibur Rahman Digital University, Bangladesh",Undergraduate,Daily,I am not sure how it affects teaching methods,Yes,Yes,Yes,Yes,Yes,Worried,Strongly agree,No,Yes
Afrin242-15-691@Daffodil International University.Edu.Bd,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Uncertain,Yes,Worried,Agree,Yes,Yes
"Bangabandhu Sheikh Mujibur Rahman Digital University, Bangladesh",Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Uncertain,Yes,Yes,Somewhat worried,Agree,Occasionally,Maybe
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometimes,Yes,Yes,Yes,Somewhat worried,Neither agree nor disagree,No,Yes
Afif All Abrar,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Uncertain,Yes,Uncertain,Somewhat worried,Agree,Occasionally,Maybe
"Bangabandhu Sheikh Mujibur Rahman Digital University, Bangladesh",Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,No,Uncertain,Not worried,Strongly agree,Occasionally,Yes
Daffodils International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Uncertain,Somewhat worried,Agree,Occasionally,Maybe
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometimes,Yes,Yes,Yes,Somewhat worried,Strongly agree,Yes,Maybe
